NB_accuracy,NB_precision,NB_recall,NB_fmeasure,NB_roc_auc,KNN_accuracy,KNN_precision,KNN_recall,KNN_fmeasure,KNN_roc_auc,MLP_accuracy,MLP_precision,MLP_recall,MLP_fmeasure,MLP_roc_auc,RF_accuracy,RF_precision,RF_recall,RF_fmeasure,RF_roc_auc,DT_accuracy,DT_precision,DT_recall,DT_fmeasure,DT_roc_auc
0.495867768595041,0.504694835680751,0.866935483870968,0.637982195845697,0.457481889010388,0.473140495867769,0.485355648535565,0.467741935483871,0.476386036960986,0.464939857845817,0.491735537190083,0.503496503496504,0.580645161290323,0.539325842696629,0.488065541279388,0.487603305785124,0.5,0.846774193548387,0.62874251497006,0.450869669218152,0.491735537190083,0.504237288135593,0.479838709677419,0.491735537190083,0.491952569710224
0.497933884297521,0.506631299734748,0.770161290322581,0.6112,0.500187944231821,0.526859504132231,0.53639846743295,0.564516129032258,0.550098231827112,0.519512028430836,0.508264462809917,0.510373443983402,0.991935483870967,0.673972602739726,0.471586249316566,0.481404958677686,0.496314496314496,0.814516129032258,0.616793893129771,0.465153430836523,0.5,0.512396694214876,0.5,0.506122448979592,0.5
0.489669421487603,0.501312335958005,0.770161290322581,0.60731319554849,0.506270503007108,0.5,0.512,0.516129032258065,0.514056224899598,0.493814926189174,0.506198347107438,0.509473684210526,0.975806451612903,0.669432918395574,0.518316019682887,0.489669421487603,0.501204819277108,0.838709677419355,0.627450980392157,0.47003998086386,0.466942148760331,0.478448275862069,0.44758064516129,0.4625,0.469399261891744
0.489669421487603,0.501385041551247,0.729838709677419,0.594417077175698,0.46683638600328,0.502066115702479,0.513409961685824,0.540322580645161,0.526522593320236,0.502178444505194,0.518595041322314,0.52442996742671,0.649193548387097,0.58018018018018,0.497334609075998,0.479338842975207,0.495024875621891,0.80241935483871,0.612307692307692,0.439644272826681,0.477272727272727,0.489626556016597,0.475806451612903,0.482617586912065,0.477310005467469
0.543388429752066,0.537190082644628,0.786290322580645,0.638297872340425,0.56460155822854,0.504132231404959,0.515873015873016,0.524193548387097,0.52,0.51055904866047,0.516528925619835,0.514583333333333,0.995967741935484,0.678571428571429,0.51127665390924,0.483471074380165,0.497663551401869,0.858870967741935,0.630177514792899,0.455952706396938,0.450413223140496,0.461864406779661,0.439516129032258,0.450413223140496,0.45255262438491
0.506198347107438,0.512064343163539,0.770161290322581,0.615136876006441,0.496411973756151,0.510330578512397,0.522088353413655,0.524193548387097,0.523138832997988,0.495429537998907,0.487603305785124,0.51458333333333,0.99596774193548,0.67857142857143,0.534838026243849,0.522727272727273,0.520581113801453,0.866935483870968,0.65052950075643,0.459019614543466,0.46900826446281,0.481012658227848,0.459677419354839,0.470103092783505,0.46889522963368
0.510330578512397,0.513994910941476,0.814516129032258,0.630265210608424,0.530993712411154,0.475206611570248,0.488,0.491935483870968,0.48995983935743,0.478300984144341,0.512396694214876,0.5125,0.991935483870967,0.675824175824176,0.528499179879716,0.520661157024793,0.518957345971564,0.883064516129032,0.653731343283582,0.51395058775287,0.454545454545455,0.46875,0.483870967741936,0.476190476190476,0.457900492072171
0.520661157024793,0.521621621621622,0.778225806451613,0.624595469255663,0.516111946418808,0.491735537190083,0.503875968992248,0.524193548387097,0.513833992094862,0.473585292509568,0.528925619834711,0.522522522522523,0.935483870967742,0.670520231213873,0.508987151448879,0.514462809917355,0.515222482435597,0.887096774193548,0.651851851851852,0.505074494259158,0.479338842975207,0.491935483870968,0.491935483870968,0.491935483870968,0.479821623838163
0.498964803312629,0.506963788300836,0.736842105263158,0.600660066006601,0.494827763672545,0.488612836438923,0.5,0.554655870445344,0.525911708253359,0.482664859671996,0.511387163561077,0.513126491646778,0.870445344129555,0.645645645645646,0.509752624716942,0.505175983436853,0.509615384615385,0.8582995951417,0.639517345399698,0.488317436354903,0.490683229813665,0.502164502164502,0.469635627530364,0.485355648535565,0.493172304947506
0.4824016563147,0.495934959349593,0.491935483870968,0.493927125506073,0.461444749485244,0.523809523809524,0.533834586466165,0.57258064516129,0.552529182879377,0.521585449553878,0.490683229813665,0.503164556962025,0.641129032258065,0.563829787234043,0.473738846945779,0.494824016563147,0.506451612903226,0.633064516129032,0.562724014336917,0.487585792724777,0.513457556935818,0.534391534391534,0.407258064516129,0.462242562929062,0.526484214138641
